depth,SP,GR,LLD,LLS,DEN,AC,litholody
1239.6,15.355,96.018,1.773,1.498,2.253,115.344,shale
1239.7,15.37,97.261,1.741,1.477,2.251,114.057,shale
1239.8,15.397,98.376,1.705,1.452,2.244,113.453,shale
1239.9,15.441,99.092,1.667,1.423,2.234,113.342,shale
1240,15.5,99.102,1.626,1.392,2.222,113.603,shale
1240.1,15.566,98.196,1.582,1.358,2.212,114.315,shale
1240.2,15.633,96.479,1.541,1.327,2.206,116,shale
1240.3,15.703,94.408,1.508,1.302,2.207,119.206,shale
1240.4,15.791,92.468,1.49,1.289,2.215,123.51,shale
1240.5,15.919,91.056,1.49,1.29,2.229,127.46,shale
1240.6,16.104,90.324,1.514,1.309,2.244,129.916,shale
1240.7,16.347,90.113,1.565,1.35,2.258,130.546,shale
1240.8,16.64,90.096,1.643,1.414,2.268,128.853,shale
1240.9,16.964,90.017,1.742,1.495,2.274,124.497,shale
1241,17.313,89.822,1.846,1.579,2.276,118.01,shale
1241.1,17.687,89.756,1.934,1.651,2.277,111.532,shale
1241.2,18.093,90.038,1.991,1.7,2.277,108.042,shale
1241.3,18.528,90.675,2.013,1.723,2.276,108.735,shale
1241.4,18.978,91.437,2.007,1.724,2.275,112.067,shale
1241.5,19.406,92.098,1.984,1.708,2.273,115.469,shale
1241.6,19.786,92.534,1.943,1.676,2.27,117.619,shale
1241.7,20.111,92.638,1.883,1.626,2.269,118.338,shale
1241.8,20.4,92.441,1.809,1.563,2.268,118.068,shale
1241.9,20.681,92.155,1.733,1.499,2.271,117.262,shale
1242,20.967,91.937,1.67,1.447,2.275,115.869,shale
1242.1,21.236,91.954,1.635,1.419,2.28,114.073,shale
1242.2,21.445,92.318,1.637,1.418,2.285,112.462,shale
1242.3,21.55,92.987,1.68,1.449,2.287,111.611,shale
1242.4,21.528,93.875,1.759,1.507,2.287,111.744,shale
1242.5,21.391,94.879,1.86,1.584,2.283,112.919,shale
1242.6,21.186,95.924,1.958,1.66,2.277,114.539,shale
1242.7,20.971,96.902,2.021,1.709,2.272,115.627,shale
1242.8,20.795,97.705,2.026,1.715,2.267,115.772,shale
1242.9,20.691,98.169,1.978,1.678,2.265,115.227,shale
1243,20.663,98.064,1.899,1.616,2.265,114.852,shale
1243.1,20.685,97.335,1.819,1.55,2.268,114.95,shale
1243.2,20.711,96.114,1.758,1.496,2.273,115.038,shale
1243.3,20.689,94.542,1.726,1.464,2.279,114.663,shale
1243.4,20.584,92.91,1.724,1.456,2.285,114.178,shale
1243.5,20.389,91.579,1.751,1.471,2.289,114.215,shale
1243.6,20.131,90.946,1.797,1.501,2.29,114.762,shale
1243.7,19.865,91.32,1.845,1.536,2.288,115.477,shale
1243.8,19.65,92.775,1.876,1.562,2.285,115.709,shale
1243.9,19.53,95.093,1.873,1.568,2.281,115.221,shale
