depth,SP,GR,LLD,LLS,DEN,AC,lithology
951.9,16.284,92.965,2.746,1.623,2.188,135.839,shale
952,16.082,92.633,2.761,1.634,2.192,136.377,shale
952.1,15.9,91.201,2.804,1.66,2.194,136.669,shale
952.2,15.733,89.069,2.857,1.693,2.195,136.686,shale
952.3,15.596,86.834,2.901,1.722,2.193,136.557,shale
952.4,15.513,85.136,2.919,1.738,2.19,136.411,shale
952.5,15.498,84.342,2.906,1.734,2.187,136.399,shale
952.6,15.554,84.507,2.862,1.711,2.183,136.697,shale
952.7,15.678,85.494,2.798,1.674,2.178,137.582,shale
952.8,15.86,86.943,2.727,1.63,2.172,139.285,shale
952.9,16.086,88.461,2.662,1.589,2.166,141.798,shale
953,16.343,89.634,2.616,1.556,2.161,144.75,shale
953.1,16.617,90.253,2.597,1.538,2.158,147.563,shale
953.2,16.891,90.373,2.609,1.535,2.158,149.771,shale
953.3,17.149,90.218,2.65,1.547,2.158,151.046,shale
953.4,17.374,90.102,2.714,1.571,2.159,151.252,shale
953.5,17.556,90.137,2.785,1.601,2.16,150.56,shale
953.6,17.698,90.03,2.85,1.629,2.161,149.351,shale
953.7,17.816,89.499,2.896,1.651,2.164,147.953,shale
953.8,17.928,88.427,2.923,1.666,2.168,146.562,shale
953.9,18.052,86.995,2.94,1.677,2.174,145.308,shale
954,18.202,85.572,2.959,1.691,2.181,144.237,shale
954.1,18.386,84.469,2.992,1.709,2.187,143.383,shale
954.2,18.596,83.803,3.044,1.735,2.192,142.757,shale
954.3,18.817,83.483,3.112,1.767,2.193,142.25,shale
954.4,19.04,83.332,3.191,1.804,2.193,141.786,shale
954.5,19.257,83.305,3.272,1.84,2.191,141.473,shale
954.6,19.462,83.488,3.347,1.873,2.188,141.503,shale
954.7,19.631,83.994,3.414,1.902,2.186,141.897,shale
954.8,19.74,84.643,3.472,1.927,2.184,142.448,shale
954.9,19.769,85.023,3.523,1.949,2.183,142.86,shale
955,19.727,84.881,3.567,1.969,2.183,142.984,shale
955.1,19.638,84.17,3.603,1.989,2.184,142.693,shale
955.2,19.539,83.197,3.635,2.008,2.184,141.749,shale
955.3,19.47,82.426,3.664,2.027,2.185,139.994,shale
955.4,19.457,82.289,3.697,2.048,2.184,137.641,shale
955.5,19.495,83.048,3.736,2.072,2.183,135.287,shale
955.6,19.559,84.72,3.782,2.096,2.182,133.456,shale
955.7,19.615,86.955,3.829,2.121,2.182,132.386,shale
955.8,19.635,89.032,3.87,2.143,2.183,132.016,shale
955.9,19.603,90.222,3.895,2.159,2.185,132.163,shale
956,19.517,90.201,3.899,2.167,2.186,132.482,shale
956.1,19.386,89.062,3.881,2.167,2.187,132.513,shale
956.2,19.228,87.295,3.85,2.161,2.187,131.926,shale
956.3,19.063,85.502,3.814,2.152,2.185,130.861,shale
956.4,18.907,84.182,3.778,2.142,2.183,129.89,shale
956.5,18.767,83.635,3.745,2.134,2.181,129.461,shale
956.6,18.646,83.812,3.713,2.126,2.178,129.785,shale
956.7,18.544,84.508,3.679,2.118,2.174,130.838,shale
956.8,18.469,85.34,3.639,2.106,2.17,132.374,shale
956.9,18.424,85.987,3.589,2.091,2.165,134.059,shale
957,18.409,86.196,3.531,2.071,2.161,135.595,shale
957.1,18.409,85.803,3.469,2.047,2.159,136.733,shale
957.2,18.401,84.822,3.409,2.023,2.159,137.349,shale
957.3,18.362,83.525,3.358,2.004,2.162,137.557,shale
957.4,18.286,82.309,3.325,1.994,2.167,137.577,shale
957.5,18.18,81.475,3.313,1.995,2.171,136.829,shale
957.6,18.06,81.044,3.32,2.007,2.175,133.973,shale
957.7,17.94,80.939,3.34,2.028,2.178,128.389,shale
957.8,17.825,80.995,3.359,2.05,2.177,121.511,shale
957.9,17.719,81.121,3.36,2.063,2.175,116.008,shale
958,17.636,81.326,3.332,2.061,2.171,113.369,shale
958.1,17.613,81.612,3.271,2.039,2.166,113.273,shale
958.2,17.69,81.877,3.188,2.002,2.162,114.967,shale
958.3,17.892,81.986,3.102,1.959,2.157,118.103,shale
958.4,18.212,81.913,3.034,1.923,2.154,121.72,shale
958.5,18.625,81.643,2.998,1.901,2.153,124.055,shale
958.6,19.11,81.178,3.001,1.9,2.153,124.073,shale
958.7,19.661,80.641,3.041,1.917,2.154,122.759,shale
958.8,20.282,80.168,3.11,1.949,2.153,121.967,shale
958.9,20.964,79.84,3.197,1.988,2.151,122.706,shale
959,21.681,79.641,3.288,2.028,2.147,124.399,shale
959.1,22.392,79.473,3.375,2.066,2.143,125.902,shale
959.2,23.063,79.26,3.457,2.101,2.14,126.75,shale
959.3,23.673,78.915,3.543,2.138,2.139,127.047,shale
959.4,24.231,78.481,3.637,2.183,2.14,127.244,shale
959.5,24.769,78.005,3.743,2.238,2.141,127.377,shale
959.6,25.329,77.633,3.855,2.302,2.14,127.222,shale
959.7,25.949,77.56,3.967,2.368,2.138,126.647,shale
959.8,26.658,77.846,4.073,2.432,2.133,125.931,shale
959.9,27.487,78.319,4.174,2.486,2.127,125.519,shale
960,28.453,78.627,4.281,2.532,2.118,125.5,shale
960.1,29.553,78.421,4.407,2.577,2.108,125.874,shale
960.2,30.755,77.471,4.558,2.627,2.098,126.558,shale
960.3,32.009,75.736,4.721,2.682,2.089,127.389,shale
960.4,33.251,73.489,4.861,2.732,2.08,128.079,shale
960.5,34.407,71.122,4.938,2.762,2.073,128.417,shale
960.6,35.396,69.052,4.927,2.763,2.071,128.474,shale
960.7,36.151,67.692,4.836,2.733,2.073,128.509,shale
960.8,36.638,67.373,4.701,2.688,2.081,128.689,shale
960.9,36.864,68.219,4.563,2.644,2.094,128.929,shale
961,36.877,70.137,4.455,2.618,2.111,128.984,shale
961.1,36.761,72.794,4.396,2.622,2.126,128.672,shale
961.2,36.628,75.668,4.386,2.656,2.137,128.053,shale
961.3,36.587,78.188,4.416,2.715,2.141,127.262,shale
961.4,36.72,79.996,4.469,2.785,2.138,126.283,shale
961.5,37.071,80.894,4.529,2.851,2.127,125.087,shale
961.6,37.645,80.894,4.586,2.898,2.113,123.864,shale
961.7,38.425,80.15,4.638,2.922,2.097,122.964,shale
961.8,39.379,78.927,4.691,2.929,2.084,122.604,shale
961.9,40.473,77.469,4.763,2.933,2.073,122.827,shale
962,41.67,76.017,4.873,2.953,2.065,123.565,shale
962.1,42.928,74.816,5.043,3.004,2.058,124.659,shale
962.2,44.203,74.048,5.293,3.102,2.052,125.859,shale
962.3,45.453,73.663,5.643,3.259,2.047,126.921,shale
962.4,46.636,73.42,6.112,3.484,2.04,127.771,shale
962.5,47.722,72.987,6.712,3.786,2.032,128.505,shale
962.6,48.694,72.17,7.44,4.163,2.023,129.227,shale
962.7,49.552,70.927,8.256,4.595,2.013,129.874,shale
962.8,50.309,69.352,9.087,5.046,2.005,130.343,shale
962.9,50.987,67.694,9.827,5.46,1.999,130.682,shale
963,51.613,66.283,10.376,5.776,1.995,130.969,shale
963.1,52.2,65.361,10.68,5.958,1.994,131.235,shale
963.2,52.749,64.911,10.767,6.012,1.993,131.483,shale
963.3,53.241,64.725,10.725,5.984,1.992,131.673,shale
963.4,53.661,64.626,10.655,5.934,1.991,131.695,shale
963.5,54.005,64.547,10.63,5.906,1.989,131.465,shale
963.6,54.287,64.501,10.689,5.926,1.987,131.048,shale
963.7,54.527,64.493,10.84,6.001,1.987,130.651,shale
963.8,54.729,64.489,11.069,6.125,1.987,130.531,shale
963.9,54.873,64.469,11.348,6.279,1.989,130.756,shale
964,54.929,64.361,11.633,6.439,1.992,131.168,shale
964.1,54.873,64.068,11.876,6.578,1.997,131.544,shale
964.2,54.702,63.62,12.033,6.671,2.002,131.698,shale
964.3,54.448,63.106,12.079,6.701,2.009,131.452,shale
964.4,54.157,62.584,12.016,6.669,2.016,130.622,shale
964.5,53.863,62.05,11.872,6.589,2.022,129.302,shale
964.6,53.577,61.522,11.681,6.482,2.026,127.956,shale
964.7,53.277,61.069,11.481,6.371,2.028,127.115,shale
964.8,52.916,60.822,11.301,6.272,2.028,126.929,shale
964.9,52.447,60.889,11.159,6.196,2.029,127.165,shale
965,51.845,61.258,11.063,6.146,2.029,127.515,shale
965.1,51.118,61.814,11.009,6.119,2.03,127.788,shale
965.2,50.299,62.378,10.985,6.103,2.031,127.994,shale
965.3,49.431,62.656,10.967,6.08,2.031,128.126,shale
965.4,48.547,62.403,10.907,6.021,2.032,128.151,shale
965.5,47.665,61.687,10.723,5.884,2.032,128.111,shale
965.6,46.796,60.876,10.301,5.624,2.033,128.04,shale
965.7,45.938,60.377,9.555,5.216,2.034,127.902,shale
965.8,45.093,60.494,8.513,4.684,2.035,127.665,shale
965.9,44.272,61.315,7.332,4.099,2.036,127.4,shale
966,43.487,62.664,6.21,3.546,2.038,127.161,shale
966.1,42.752,64.254,5.285,3.084,2.042,126.972,shale
966.2,42.076,65.819,4.603,2.739,2.049,126.771,shale
966.3,41.468,67.252,4.147,2.505,2.057,126.509,shale
966.4,40.926,68.577,3.876,2.364,2.064,126.346,shale
966.5,40.43,69.797,3.745,2.296,2.07,126.697,shale
966.6,39.936,70.884,3.71,2.28,2.074,127.905,shale
966.7,39.397,71.986,3.729,2.296,2.081,129.899,shale
966.8,38.772,73.396,3.76,2.325,2.094,132.311,shale
966.9,38.042,75.245,3.776,2.353,2.115,134.577,shale
967,37.207,77.31,3.772,2.375,2.141,135.94,shale
967.1,36.295,79.214,3.762,2.394,2.168,135.234,shale
967.2,35.347,80.641,3.762,2.415,2.189,131.531,shale
967.3,34.412,81.534,3.779,2.438,2.202,125.423,shale
967.4,33.528,82.231,3.807,2.46,2.206,119.066,shale
967.5,32.72,83.155,3.833,2.475,2.204,114.851,shale
967.6,32.006,84.49,3.842,2.477,2.201,113.907,shale
967.7,31.394,86.022,3.829,2.464,2.197,116.209,shale
967.8,30.884,87.268,3.802,2.44,2.194,121.167,shale
967.9,30.475,87.83,3.779,2.416,2.193,127.573,shale
968,30.171,87.648,3.773,2.401,2.192,133.559,shale
968.1,29.972,86.977,3.786,2.399,2.193,137.393,shale
968.2,29.874,86.218,3.814,2.408,2.196,138.674,shale
968.3,29.877,85.676,3.849,2.423,2.199,138.18,shale
968.4,29.983,85.581,3.883,2.44,2.201,137,shale
968.5,30.221,85.934,3.913,2.455,2.201,135.687,shale
968.6,30.626,86.506,3.942,2.466,2.196,134.094,shale
968.7,31.219,87.015,3.977,2.474,2.186,131.959,shale
968.8,31.978,87.064,4.021,2.482,2.173,129.404,shale
968.9,32.837,86.32,4.08,2.491,2.157,126.962,shale
969,33.712,84.699,4.155,2.505,2.142,125.245,shale
969.1,34.512,82.454,4.249,2.527,2.129,124.464,shale
969.2,35.178,80.121,4.362,2.559,2.119,124.376,shale
969.3,35.688,78.293,4.494,2.603,2.113,124.913,shale
969.4,36.059,77.347,4.637,2.657,2.11,126.207,shale
969.5,36.324,77.304,4.783,2.719,2.109,128.061,shale
969.6,36.515,77.934,4.918,2.782,2.11,129.916,shale
969.7,36.66,78.932,5.031,2.839,2.11,131.275,shale
969.8,36.784,79.878,5.112,2.886,2.11,131.992,shale
969.9,36.903,80.389,5.159,2.918,2.109,132.175,shale
970,37.015,80.268,5.18,2.936,2.105,131.968,shale
970.1,37.099,79.523,5.184,2.944,2.101,131.495,shale
970.2,37.129,78.438,5.181,2.945,2.095,130.89,shale
970.3,37.083,77.419,5.175,2.94,2.09,130.329,shale
970.4,36.952,76.893,5.163,2.929,2.086,129.933,shale
970.5,36.736,77.081,5.134,2.907,2.085,129.799,shale
970.6,36.441,77.881,5.072,2.868,2.087,129.902,shale
970.7,36.067,78.928,4.949,2.801,2.091,130.053,shale
970.8,35.603,79.793,4.748,2.698,2.096,130.056,shale
970.9,35.029,80.299,4.474,2.564,2.101,129.829,shale
971,34.324,80.568,4.161,2.413,2.107,129.469,shale
971.1,33.48,80.857,3.853,2.268,2.113,129.093,shale
971.2,32.516,81.413,3.593,2.148,2.123,128.891,shale
971.3,31.475,82.338,3.405,2.066,2.137,129.099,shale
971.4,30.416,83.614,3.298,2.027,2.151,129.858,shale
971.5,29.394,85.127,3.271,2.032,2.166,131.01,shale
971.6,28.458,86.672,3.313,2.075,2.18,132.173,shale
971.7,27.641,88.09,3.406,2.146,2.198,133.056,shale
971.8,26.952,89.199,3.523,2.227,2.219,133.541,shale
971.9,26.387,89.837,3.639,2.302,2.245,133.426,shale
972,25.949,89.995,3.734,2.357,2.271,132.436,shale
972.1,25.655,89.708,3.802,2.39,2.292,130.6,shale
972.2,25.529,88.965,3.852,2.406,2.304,128.305,shale
972.3,25.588,87.759,3.9,2.415,2.304,126.06,shale
972.4,25.834,86.176,3.958,2.423,2.293,124.001,shale
972.5,26.244,84.44,4.026,2.432,2.274,121.998,shale
972.6,26.779,82.822,4.092,2.436,2.25,120.079,shale
972.7,27.383,81.589,4.14,2.426,2.225,118.614,shale
972.8,27.981,80.817,4.154,2.399,2.201,117.877,shale
972.9,28.484,80.461,4.13,2.355,2.182,117.778,shale
973,28.804,80.526,4.08,2.304,2.167,118.079,shale
973.1,28.869,81.004,4.024,2.256,2.158,118.691,shale
973.2,28.644,81.82,3.979,2.218,2.155,119.753,shale
973.3,28.145,82.931,3.956,2.196,2.157,121.144,shale
973.4,27.418,84.168,3.953,2.19,2.163,122.489,shale
973.5,26.516,85.267,3.953,2.197,2.171,123.469,shale
973.6,25.491,85.973,3.939,2.209,2.181,124.103,shale
973.7,24.382,86.3,3.895,2.217,2.19,124.455,shale
973.8,23.227,86.502,3.824,2.218,2.199,124.585,shale
973.9,22.068,87,3.747,2.217,2.208,124.703,shale
974,20.95,87.94,3.686,2.22,2.218,125.122,shale
974.1,19.906,89.145,3.653,2.233,2.23,125.724,shale
974.2,18.949,90.368,3.643,2.252,2.241,125.311,shale
974.3,18.082,91.469,3.634,2.268,2.248,122.697,shale
974.4,17.303,92.358,3.593,2.262,2.246,118.343,shale
974.5,16.63,93.02,3.489,2.218,2.233,114.543,shale
974.6,16.084,93.372,3.32,2.132,2.21,113.297,shale
974.7,15.675,93.312,3.118,2.021,2.183,114.77,shale
974.8,15.396,92.748,2.925,1.909,2.157,118.233,shale
974.9,15.231,91.698,2.772,1.815,2.139,123.543,shale
975,15.168,90.332,2.678,1.752,2.129,130.752,shale
975.1,15.2,88.899,2.647,1.723,2.126,138.562,shale
975.2,15.318,87.592,2.676,1.729,2.127,144.631,shale
975.3,15.513,86.5,2.76,1.765,2.129,147.468,shale
975.4,15.771,85.628,2.889,1.826,2.132,147.551,shale
975.5,16.072,84.953,3.055,1.908,2.136,146.385,shale
975.6,16.392,84.466,3.247,2.003,2.143,144.852,shale
975.7,16.715,84.329,3.451,2.102,2.153,143.051,shale
975.8,17.043,84.624,3.646,2.196,2.165,140.829,shale
975.9,17.381,85.303,3.811,2.272,2.178,137.839,shale
976,17.737,86.311,3.924,2.319,2.188,134.104,shale
976.1,18.118,87.479,3.979,2.332,2.195,130.42,shale
976.2,18.528,88.537,3.983,2.317,2.198,127.673,shale
976.3,18.955,89.231,3.956,2.284,2.195,125.86,shale
976.4,19.375,89.306,3.92,2.248,2.19,124.297,shale
976.5,19.758,88.664,3.893,2.218,2.183,122.522,shale
976.6,20.084,87.44,3.887,2.202,2.177,120.87,shale
976.7,20.354,85.93,3.909,2.202,2.176,120.072,shale
976.8,20.588,84.371,3.957,2.218,2.178,120.216,shale
976.9,20.818,82.966,4.021,2.244,2.182,120.842,shale
977,21.07,81.863,4.082,2.271,2.187,121.569,shale
977.1,21.349,81.118,4.124,2.292,2.19,122.265,shale
977.2,21.628,80.844,4.139,2.299,2.19,122.924,shale
977.3,21.871,81.215,4.128,2.294,2.187,123.533,shale
977.4,22.045,82.253,4.102,2.28,2.182,123.993,shale
977.5,22.13,83.846,4.076,2.265,2.176,124.142,shale
977.6,22.124,85.644,4.064,2.255,2.17,124.045,shale
977.7,22.048,87.167,4.068,2.255,2.166,124.054,shale
977.8,21.94,88.075,4.084,2.263,2.163,124.493,shale
977.9,21.843,88.277,4.099,2.274,2.162,125.332,shale
978,21.791,87.927,4.106,2.283,2.161,126.134,shale
978.1,21.793,87.292,4.099,2.286,2.161,126.566,shale
978.2,21.829,86.501,4.08,2.282,2.159,126.592,shale
978.3,21.863,85.605,4.054,2.271,2.158,126.339,shale
978.4,21.859,84.631,4.027,2.258,2.157,125.969,shale
978.5,21.812,83.715,4.008,2.246,2.157,125.537,shale
978.6,21.751,82.999,4.001,2.24,2.158,125.168,shale
978.7,21.731,82.641,4.01,2.241,2.16,125.027,shale
978.8,21.805,82.805,4.035,2.25,2.16,125.153,shale
978.9,22.002,83.401,4.072,2.263,2.159,125.406,shale
979,22.322,84.154,4.117,2.279,2.155,125.639,shale
979.1,22.736,84.788,4.164,2.293,2.149,125.801,shale
979.2,23.205,85.242,4.204,2.302,2.142,125.917,shale
979.3,23.691,85.683,4.232,2.304,2.136,126.112,shale
979.4,24.165,86.259,4.248,2.301,2.13,126.393,shale
979.5,24.604,87.068,4.256,2.295,2.127,126.653,shale
979.6,24.996,88.206,4.266,2.291,2.126,126.913,shale
979.7,25.344,89.567,4.281,2.292,2.127,127.259,shale
979.8,25.663,90.885,4.305,2.299,2.13,127.715,shale
979.9,25.974,91.829,4.333,2.312,2.133,128.183,shale
980,26.276,92.21,4.358,2.325,2.135,128.491,shale
980.1,26.557,92.031,4.371,2.335,2.136,128.609,shale
980.2,26.791,91.475,4.374,2.342,2.135,128.67,shale
980.3,26.969,90.813,4.374,2.348,2.134,128.722,shale
980.4,27.096,90.315,4.383,2.359,2.131,128.694,shale
980.5,27.201,90.173,4.407,2.377,2.128,128.499,shale
980.6,27.316,90.418,4.445,2.4,2.124,128.172,shale
980.7,27.464,90.819,4.485,2.423,2.121,127.829,shale
980.8,27.647,91.118,4.508,2.439,2.118,127.694,shale
980.9,27.842,91.307,4.502,2.442,2.116,127.96,shale
981,28.025,91.541,4.465,2.432,2.115,128.553,shale
981.1,28.185,92.046,4.409,2.414,2.116,129.238,shale
981.2,28.325,92.977,4.355,2.398,2.119,129.762,shale
981.3,28.453,94.333,4.32,2.39,2.125,130.067,shale
981.4,28.585,95.959,4.315,2.396,2.131,130.157,shale
981.5,28.745,97.594,4.339,2.414,2.139,129.978,shale
981.6,28.967,99.017,4.389,2.443,2.145,129.501,shale
981.7,29.303,99.963,4.46,2.477,2.149,128.765,shale
981.8,29.814,100.154,4.556,2.515,2.151,127.837,shale
981.9,30.568,99.462,4.687,2.557,2.148,126.898,shale
982,31.616,97.902,4.868,2.606,2.142,126.275,shale
982.1,32.961,95.688,5.108,2.67,2.132,126.18,shale
982.2,34.532,93.253,5.411,2.755,2.119,126.581,shale
982.3,36.188,90.956,5.772,2.872,2.105,127.315,shale
982.4,37.744,88.929,6.191,3.029,2.091,128.269,shale
982.5,39.031,87.094,6.676,3.232,2.079,129.504,shale
982.6,39.948,85.338,7.247,3.481,2.07,130.994,shale
982.7,40.474,83.514,7.922,3.767,2.065,132.529,shale
982.8,40.662,81.587,8.693,4.072,2.064,134.074,shale
982.9,40.597,79.712,9.499,4.366,2.065,135.779,shale
983,40.361,78.134,10.229,4.619,2.065,137.734,shale
983.1,40.012,77.015,10.768,4.81,2.064,139.953,shale
983.2,39.584,76.352,11.047,4.929,2.059,142.415,shale
983.3,39.092,75.907,11.034,4.96,2.053,144.906,shale
983.4,38.541,75.471,10.686,4.876,2.048,147.087,shale
983.5,37.933,74.907,9.935,4.637,2.046,148.715,shale
983.6,37.27,74.074,8.759,4.221,2.048,149.834,shale
983.7,36.558,72.996,7.309,3.665,2.054,150.649,shale
983.8,35.803,72.008,5.88,3.076,2.061,151.197,shale
983.9,35.019,71.589,4.702,2.562,2.068,151.306,shale
984,34.216,72.019,3.84,2.169,2.074,150.772,shale
984.1,33.399,73.213,3.261,1.899,2.081,149.729,shale
984.2,32.574,74.891,2.901,1.731,2.091,148.502,shale
984.3,31.75,76.826,2.707,1.646,2.107,147.219,shale
984.4,30.945,78.796,2.638,1.625,2.127,145.868,shale
984.5,30.186,80.594,2.657,1.653,2.145,144.671,shale
984.6,29.502,82.112,2.731,1.711,2.158,144.21,shale
984.7,28.913,83.392,2.821,1.778,2.164,144.833,shale
984.8,28.408,84.526,2.892,1.829,2.165,146.174,shale
984.9,27.956,85.556,2.923,1.85,2.166,147.395,shale
985,27.515,86.485,2.911,1.839,2.166,148.028,shale
985.1,27.054,87.302,2.874,1.807,2.166,148.306,shale
985.2,26.564,87.962,2.831,1.77,2.163,148.492,shale
985.3,26.061,88.297,2.798,1.739,2.155,148.502,shale
985.4,25.569,88.107,2.78,1.718,2.144,148.184,shale
985.5,25.117,87.327,2.781,1.71,2.129,147.606,shale
985.6,24.724,86.041,2.804,1.715,2.116,146.995,shale
985.7,24.413,84.437,2.847,1.731,2.108,146.477,shale
985.8,24.209,82.85,2.912,1.758,2.112,146.113,shale
985.9,24.132,81.589,2.991,1.789,2.123,145.761,shale
986,24.177,80.836,3.07,1.817,2.138,144.859,shale
986.1,24.309,80.771,3.133,1.835,2.139,142.83,shale
986.2,24.467,81.347,3.164,1.834,2.138,139.597,shale
986.3,24.591,82.226,3.158,1.816,2.143,135.693,shale
986.4,24.629,83.087,3.128,1.789,2.165,131.688,shale
986.5,24.543,83.775,3.096,1.763,2.187,127.831,shale
986.6,24.32,84.393,3.084,1.751,2.207,124.455,shale
986.7,23.969,85.242,3.104,1.759,2.219,122.253,shale
986.8,23.521,86.415,3.153,1.786,2.227,121.681,shale
986.9,23.023,87.654,3.215,1.826,2.23,122.362,shale
987,22.524,88.402,3.262,1.864,2.23,123.604,shale
987.1,22.062,88.183,3.271,1.888,2.225,125.003,shale
987.2,21.662,86.829,3.235,1.89,2.214,126.725,shale
987.3,21.337,84.595,3.17,1.873,2.2,129.152,shale
987.4,21.1,82.225,3.105,1.851,2.186,132.016,shale
987.5,20.956,80.422,3.064,1.835,2.175,134.628,shale
987.6,20.899,79.571,3.061,1.835,2.168,136.593,shale
987.7,20.904,79.658,3.097,1.853,2.166,138.002,shale
987.8,20.936,80.395,3.159,1.881,2.169,138.893,shale
987.9,20.956,81.434,3.222,1.91,2.174,139.056,shale
988,20.935,82.441,3.262,1.926,2.18,138.251,shale
988.1,20.859,83.312,3.262,1.922,2.186,136.665,shale
988.2,20.722,84.115,3.223,1.897,2.189,135.146,shale
988.3,20.514,84.835,3.158,1.858,2.189,134.222,shale
988.4,20.229,85.448,3.088,1.817,2.187,133.845,shale
988.5,19.872,85.695,3.028,1.783,2.184,133.912,shale
988.6,19.465,85.168,2.988,1.762,2.181,134.42,shale
988.7,19.041,83.765,2.968,1.754,2.18,135.115,shale
988.8,18.625,81.84,2.964,1.757,2.18,135.402,shale
988.9,18.225,80.014,2.969,1.768,2.182,134.775,shale
989,17.836,78.868,2.976,1.78,2.186,133.207,shale
989.1,17.444,78.604,2.98,1.79,2.191,131.243,shale
989.2,17.046,78.9,2.981,1.795,2.196,129.729,shale
989.3,16.664,79.268,2.981,1.797,2.201,129.274,shale
989.4,16.333,79.527,2.983,1.797,2.203,130.027,shale
989.5,16.081,79.723,2.989,1.797,2.202,131.783,shale
989.6,15.917,80.049,3,1.798,2.199,134.005,shale
989.7,15.828,80.721,3.016,1.8,2.194,136.286,shale
989.8,15.796,81.624,3.033,1.804,2.189,138.344,shale
989.9,15.804,82.349,3.049,1.809,2.185,139.843,shale
990,15.841,82.635,3.062,1.813,2.183,140.444,shale
990.1,15.892,82.525,3.071,1.816,2.183,139.985,shale
990.2,15.946,82.453,3.072,1.814,2.182,138.859,shale
990.3,15.989,82.94,3.064,1.808,2.18,137.787,shale
990.4,16.005,84.085,3.048,1.799,2.178,137.373,shale
990.5,15.982,85.491,3.025,1.788,2.177,137.537,shale
990.6,15.923,86.585,3,1.778,2.178,137.753,shale
990.7,15.834,86.935,2.978,1.77,2.183,137.782,shale
990.8,15.729,86.509,2.964,1.765,2.189,137.739,shale
990.9,15.628,85.699,2.957,1.765,2.195,137.943,shale
991,15.562,85.065,2.959,1.769,2.199,138.367,shale
991.1,15.562,84.941,2.97,1.777,2.201,138.682,shale
991.2,15.648,85.232,2.992,1.79,2.199,138.68,shale
991.3,15.817,85.556,3.028,1.808,2.196,138.406,shale
991.4,16.052,85.523,3.083,1.833,2.192,138.131,shale
991.5,16.34,85.053,3.157,1.866,2.188,138.097,shale
991.6,16.676,84.323,3.247,1.904,2.186,138.307,shale
991.7,17.056,83.625,3.343,1.943,2.186,138.322,shale
991.8,17.477,83.173,3.436,1.979,2.189,137.473,shale
991.9,17.924,82.931,3.514,2.007,2.194,135.389,shale
992,18.381,82.809,3.577,2.027,2.2,132.271,shale
992.1,18.833,82.833,3.63,2.042,2.205,128.772,shale
992.2,19.285,83.074,3.686,2.059,2.21,125.605,shale
992.3,19.759,83.552,3.756,2.084,2.212,123.252,shale
992.4,20.287,84.226,3.849,2.122,2.211,122.068,shale
992.5,20.881,85.054,3.967,2.172,2.206,122.197,shale
992.6,21.53,85.88,4.11,2.234,2.197,123.402,shale
992.7,22.214,86.501,4.272,2.304,2.185,125.013,shale
992.8,22.91,86.677,4.448,2.379,2.17,126.163,shale
992.9,23.6,86.175,4.632,2.455,2.152,126.314,shale
993,24.271,85.016,4.815,2.528,2.133,125.563,shale
993.1,24.906,83.428,4.984,2.594,2.114,124.677,shale
993.2,25.478,81.748,5.117,2.643,2.097,124.498,shale
993.3,25.947,80.363,5.195,2.668,2.083,125.272,shale
993.4,26.267,79.506,5.216,2.666,2.071,126.604,shale
993.5,26.388,79.212,5.2,2.646,2.065,127.9,shale
993.6,26.271,79.255,5.175,2.623,2.065,128.839,shale
993.7,25.895,79.45,5.165,2.61,2.073,129.35,shale
993.8,25.264,79.769,5.173,2.612,2.088,129.106,shale
993.9,24.416,80.221,5.182,2.628,2.109,127.372,shale
994,23.42,80.76,5.156,2.645,2.133,123.97,shale
994.1,22.364,81.347,5.061,2.647,2.156,119.947,shale
994.2,21.334,81.938,4.887,2.621,2.178,116.921,shale
994.3,20.393,82.551,4.659,2.567,2.198,115.657,shale
994.4,19.577,83.165,4.422,2.497,2.213,115.984,shale
994.5,18.908,83.719,4.218,2.426,2.221,117.778,shale
994.6,18.396,84.103,4.07,2.369,2.222,120.952,shale
994.7,18.041,84.191,3.986,2.332,2.218,124.669,shale
994.8,17.826,83.953,3.957,2.315,2.212,127.277,shale
994.9,17.713,83.549,3.966,2.313,2.205,127.989,shale
995,17.66,83.145,3.989,2.317,2.199,127.754,shale
995.1,17.63,82.933,4.005,2.318,2.194,128.123,shale
995.2,17.615,83.028,4.005,2.312,2.19,129.551,shale
995.3,17.629,83.407,3.987,2.298,2.187,131.332,shale
995.4,17.695,83.938,3.959,2.279,2.186,132.973,shale
995.5,17.824,84.46,3.924,2.257,2.186,134.201,shale
995.6,18.011,84.782,3.884,2.23,2.188,134.387,shale
995.7,18.239,84.805,3.833,2.196,2.19,133.118,shale
995.8,18.489,84.642,3.763,2.152,2.192,130.7,shale
995.9,18.737,84.544,3.673,2.098,2.194,127.837,shale
996,18.945,84.776,3.569,2.039,2.196,124.896,shale
996.1,19.064,85.589,3.464,1.981,2.196,121.769,shale
996.2,19.041,86.971,3.37,1.931,2.196,118.601,shale
996.3,18.841,88.614,3.299,1.896,2.194,116.294,shale
996.4,18.464,90.257,3.252,1.876,2.192,116.065,shale
996.5,17.947,91.888,3.22,1.868,2.19,118.079,shale
996.6,17.348,93.629,3.187,1.865,2.188,121.562,shale
996.7,16.723,95.431,3.132,1.857,2.187,125.718,shale
996.8,16.118,97.002,3.042,1.833,2.184,130.164,shale
996.9,15.564,98.041,2.919,1.791,2.182,134.889,shale
997,15.083,98.398,2.777,1.734,2.178,139.537,shale
997.1,14.689,98.186,2.64,1.672,2.174,143.325,shale
