depth,SP,GR,LLD,LLS,DEN,AC,lithology
1490.6,9.819,108.381,2.782,1.852,2.332,107.319,shale
1490.7,9.728,109.217,2.803,1.861,2.306,104.041,shale
1490.8,9.673,109.827,2.725,1.813,2.284,103.397,shale
1490.9,9.629,109.966,2.572,1.718,2.271,105.608,shale
1491,9.567,109.644,2.392,1.606,2.271,109.582,shale
1491.1,9.467,109.116,2.234,1.506,2.283,114.533,shale
1491.2,9.318,108.634,2.124,1.436,2.291,119.985,shale
1491.3,9.126,108.327,2.075,1.403,2.308,124.699,shale
1491.4,8.902,108.167,2.086,1.407,2.326,126.893,shale
1491.5,8.657,108.146,2.153,1.446,2.345,125.768,shale
1491.6,8.4,108.233,2.265,1.515,2.36,122.331,shale
1491.7,8.15,108.258,2.403,1.603,2.366,118.049,shale
1491.8,7.928,108.069,2.538,1.69,2.364,113.676,shale
1491.9,7.752,107.689,2.639,1.756,2.354,109.657,shale
1492,7.636,107.1,2.685,1.787,2.339,107.008,shale
1492.1,7.588,106.246,2.675,1.78,2.324,106.691,shale
1492.2,7.605,105.15,2.626,1.746,2.312,108.273,shale
1492.3,7.67,103.956,2.56,1.7,2.306,110.5,shale
1492.4,7.764,102.791,2.502,1.656,2.308,112.627,shale
1492.5,7.864,101.688,2.467,1.627,2.318,114.735,shale
1492.6,7.956,100.558,2.464,1.618,2.338,116.745,shale
1492.7,8.03,99.235,2.501,1.634,2.365,117.643,shale
1492.8,8.091,97.692,2.581,1.676,2.392,116.446,shale
1492.9,8.149,95.988,2.704,1.746,2.412,113.327,shale
1493,8.214,94.217,2.864,1.838,2.42,109.26,shale
1493.1,8.284,92.685,3.042,1.942,2.417,104.943,shale
1493.2,8.353,91.852,3.204,2.038,2.404,100.863,shale
1493.3,8.42,91.972,3.315,2.105,2.386,97.663,shale
1493.4,8.5,93.056,3.354,2.131,2.367,96.309,shale
1493.5,8.616,94.758,3.329,2.117,2.351,97.22,shale
1493.6,8.787,96.472,3.271,2.082,2.341,99.536,shale
1493.7,9.014,97.498,3.221,2.05,2.336,102.047,shale
1493.8,9.269,97.36,3.206,2.036,2.337,104.22,shale
1493.9,9.51,96.058,3.235,2.048,2.342,106.052,shale
1494,9.691,94.102,3.295,2.079,2.349,107.292,shale
1494.1,9.788,92.323,3.354,2.112,2.357,107.702,shale
1494.2,9.803,91.356,3.365,2.122,2.364,107.257,shale
1494.3,9.755,91.365,3.287,2.085,2.365,106.524,shale
1494.4,9.671,92.305,3.112,1.992,2.36,106.257,shale
1494.5,9.574,93.856,2.875,1.861,2.349,106.504,shale
1494.6,9.475,95.595,2.63,1.722,2.337,107.52,shale
1494.7,9.379,97.151,2.419,1.599,2.329,109.938,shale
1494.8,9.287,98.195,2.265,1.508,2.325,113.705,shale
1494.9,9.198,98.545,2.172,1.454,2.326,117.641,shale
1495,9.11,98.197,2.141,1.436,2.331,120.431,shale
1495.1,9.025,97.372,2.17,1.456,2.337,121.541,shale
1495.2,8.946,96.461,2.254,1.509,2.345,121.073,shale
1495.3,8.879,95.85,2.382,1.591,2.351,119.093,shale
1495.4,8.833,95.78,2.538,1.691,2.352,115.559,shale
1495.5,8.809,96.23,2.69,1.791,2.35,111.31,shale
1495.6,8.804,96.983,2.806,1.869,2.344,107.886,shale
1495.7,8.805,97.68,2.857,1.907,2.337,106.192,shale
1495.8,8.802,98.097,2.84,1.902,2.33,105.882,shale
1495.9,8.79,98.26,2.775,1.867,2.327,106.18,shale
1496,8.777,98.391,2.692,1.818,2.325,106.811,shale
1496.1,8.782,98.707,2.612,1.771,2.325,107.945,shale
1496.2,8.828,99.299,2.548,1.732,2.324,109.457,shale
1496.3,8.933,100.106,2.505,1.707,2.323,110.663,shale
1496.4,9.104,101.057,2.482,1.696,2.321,111.118,shale
1496.5,9.336,102.022,2.48,1.698,2.318,110.994,shale
1496.6,9.612,102.721,2.497,1.714,2.315,110.815,shale
1496.7,9.919,102.89,2.536,1.744,2.312,110.771,shale
1496.8,10.248,102.541,2.595,1.787,2.309,110.549,shale
1496.9,10.608,101.657,2.672,1.843,2.306,109.936,shale
1497,11.014,100.218,2.759,1.907,2.302,109.014,shale
1497.1,11.483,98.542,2.846,1.973,2.297,108.108,shale
1497.2,12.015,97.062,2.92,2.031,2.29,107.542,shale
1497.3,12.594,96.043,2.972,2.077,2.28,107.481,shale
1497.4,13.188,95.547,3.001,2.107,2.269,107.835,shale
1497.5,13.772,95.406,3.006,2.12,2.259,108.328,shale
1497.6,14.338,95.415,2.989,2.119,2.252,108.808,shale
1497.7,14.902,95.418,2.952,2.105,2.248,109.214,shale
1497.8,15.487,95.354,2.899,2.079,2.248,109.671,shale
1497.9,16.105,95.119,2.839,2.048,2.251,110.185,shale
1498,16.754,94.577,2.781,2.017,2.255,110.504,shale
1498.1,17.427,93.696,2.738,1.996,2.26,110.505,shale
1498.2,18.122,92.478,2.723,1.994,2.264,110.482,shale
1498.3,18.852,91.091,2.748,2.018,2.269,110.677,shale
1498.4,19.646,89.973,2.823,2.076,2.276,110.538,shale
1498.5,20.537,89.438,2.955,2.175,2.286,109.335,shale
1498.6,21.555,89.457,3.148,2.315,2.297,106.954,shale
1498.7,22.705,89.699,3.398,2.494,2.308,104.009,shale
1498.8,23.978,89.832,3.691,2.699,2.315,101.247,shale
1498.9,25.354,89.676,3.999,2.911,2.313,98.852,shale
1499,26.821,89.322,4.294,3.11,2.302,97.012,shale
1499.1,28.372,89.05,4.563,3.288,2.279,96.621,shale
1499.2,30.004,88.929,4.82,3.452,2.248,98.554,shale
1499.3,31.697,88.667,5.094,3.621,2.213,102.563,shale
1499.4,33.411,87.77,5.42,3.817,2.18,107.392,shale
1499.5,35.085,85.87,5.826,4.06,2.152,111.726,shale
1499.6,36.66,83.054,6.331,4.364,2.131,114.932,sand
1499.7,38.105,79.872,6.945,4.737,2.117,117.128,sand
1499.8,39.43,77.008,7.673,5.182,2.107,118.658,sand
1499.9,40.672,74.92,8.52,5.7,2.102,119.641,sand
1500,41.861,73.789,9.5,6.295,2.1,120.064,sand
1500.1,43.01,73.438,10.616,6.968,2.1,119.919,sand
1500.2,44.11,73.462,11.835,7.702,2.102,119.447,sand
1500.3,45.148,73.469,13.071,8.448,2.105,119.024,sand
1500.4,46.127,73.193,14.186,9.131,2.11,118.754,sand
1500.5,47.061,72.543,15.033,9.669,2.114,118.581,sand
1500.6,47.97,71.667,15.527,10.013,2.118,118.483,sand
1500.7,48.859,70.794,15.688,10.173,2.121,118.56,sand
1500.8,49.713,70.069,15.616,10.199,2.123,118.975,sand
1500.9,50.512,69.544,15.426,10.157,2.123,119.69,sand
1501,51.244,69.166,15.21,10.094,2.122,120.553,sand
1501.1,51.913,68.796,15.023,10.044,2.118,121.429,sand
1501.2,52.541,68.34,14.897,10.027,2.112,122.225,sand
1501.3,53.154,67.771,14.848,10.055,2.107,122.88,sand
1501.4,53.776,67.19,14.885,10.131,2.103,123.419,sand
1501.5,54.415,66.792,15.005,10.247,2.101,123.986,sand
1501.6,55.058,66.773,15.192,10.389,2.1,124.601,sand
1501.7,55.677,67.143,15.414,10.529,2.101,125.075,sand
1501.8,56.244,67.704,15.62,10.637,2.101,125.26,sand
1501.9,56.754,68.154,15.767,10.685,2.101,125.294,sand
1502,57.223,68.189,15.855,10.675,2.099,125.4,sand
1502.1,57.68,67.683,15.954,10.648,2.096,125.608,sand
1502.2,58.151,66.777,16.189,10.677,2.093,125.772,sand
1502.3,58.648,65.732,16.712,10.845,2.093,125.736,sand
1502.4,59.157,64.797,17.678,11.23,2.095,125.557,sand
1502.5,59.648,63.997,19.23,11.894,2.099,125.418,sand
1502.6,60.1,63.176,21.473,12.863,2.103,125.353,sand
1502.7,60.511,62.18,24.417,14.106,2.105,125.383,sand
1502.8,60.894,60.968,27.872,15.501,2.104,125.59,sand
1502.9,61.262,59.736,31.359,16.828,2.1,126.011,sand
1503,61.619,58.762,34.196,17.833,2.093,126.509,sand
1503.1,61.958,58.244,35.815,18.344,2.086,126.935,sand
1503.2,62.272,58.225,36.079,18.346,2.081,127.253,sand
1503.3,62.567,58.62,35.284,17.964,2.078,127.428,sand
1503.4,62.86,59.245,33.9,17.367,2.077,127.383,sand
1503.5,63.173,59.9,32.332,16.7,2.076,127.031,sand
1503.6,63.511,60.505,30.848,16.065,2.075,126.462,sand
1503.7,63.854,61.078,29.598,15.526,2.074,125.82,sand
1503.8,64.174,61.664,28.64,15.119,2.071,125.198,sand
1503.9,64.455,62.32,27.953,14.849,2.069,124.599,sand
1504,64.698,62.91,27.439,14.69,2.068,124.075,sand
1504.1,64.926,63.233,26.937,14.586,2.069,123.816,sand
1504.2,65.165,63.222,26.253,14.449,2.073,123.825,sand
1504.3,65.424,62.958,25.23,14.192,2.078,123.894,sand
1504.4,65.688,62.67,23.829,13.758,2.084,123.791,sand
1504.5,65.931,62.649,22.145,13.15,2.088,123.421,sand
1504.6,66.135,63.042,20.357,12.425,2.088,122.919,sand
1504.7,66.302,63.771,18.648,11.672,2.082,122.594,sand
1504.8,66.454,64.606,17.153,10.971,2.072,122.682,sand
