depth(m),SP,GR,LLD,LLS,DEN,AC,lithology
1041.9,62.37,66.993,5.838,3.535,1.886,146.093,sand
1042,62.796,66.973,5.681,3.542,1.847,150.726,sand
1042.8,65.859,70.305,6.126,3.614,1.805,162.461,sand
1042.9,66.328,71.309,6.153,3.665,1.883,158.221,sand
1043,66.747,72.346,6.157,3.709,1.959,154.501,sand
1043.1,67.072,73.451,6.169,3.753,2.02,151.772,sand
1043.2,67.28,74.693,6.214,3.798,2.056,149.965,sand
1043.3,67.385,76.089,6.304,3.848,2.066,148.912,sand
1043.4,67.443,77.617,6.439,3.899,2.062,148.108,sand
1043.5,67.537,79.096,6.605,3.947,2.054,147.27,sand
1043.6,67.746,80.281,6.781,3.99,2.049,146.855,sand
1043.7,68.109,80.889,6.941,4.022,2.047,147.456,sand
1043.8,68.603,80.66,7.062,4.043,2.047,148.856,sand
1043.9,69.159,79.585,7.128,4.049,2.048,150.336,sand
1044,69.702,78.009,7.139,4.04,2.049,151.493,sand
1044.1,70.197,76.397,7.107,4.018,2.051,152.174,sand
1044.2,70.653,75.199,7.049,3.99,2.052,152.496,sand
1044.3,71.099,74.662,6.983,3.962,2.053,152.539,sand
1044.4,71.545,74.791,6.926,3.94,2.052,152.244,sand
1044.5,71.964,75.431,6.887,3.929,2.05,151.583,sand
1044.6,72.314,76.356,6.872,3.93,2.048,150.641,sand
1044.7,72.554,77.326,6.88,3.946,2.046,149.729,sand
1044.8,72.668,78.141,6.905,3.972,2.043,149.196,sand
1044.9,72.662,78.614,6.934,4.004,2.04,149.122,sand
1045,72.555,78.621,6.95,4.036,2.039,149.328,sand
1045.1,72.365,78.171,6.938,4.058,2.039,149.655,sand
1045.2,72.108,77.511,6.887,4.065,2.041,150.135,sand
1045.3,71.792,76.877,6.801,4.057,2.044,150.805,sand
1045.4,71.434,76.359,6.693,4.037,2.047,151.581,sand
1045.5,71.056,75.986,6.589,4.016,2.05,152.281,sand
1045.6,70.671,75.842,6.51,4.004,2.051,152.731,sand
1045.7,70.264,76.038,6.475,4.008,2.052,152.844,sand
1045.8,69.806,76.679,6.489,4.033,2.052,152.506,sand
1045.9,69.263,77.675,6.546,4.079,2.051,151.641,sand
1046,68.627,78.81,6.636,4.139,2.05,150.289,sand
1046.1,67.916,79.809,6.74,4.206,2.049,148.378,sand
1046.2,67.177,80.486,6.839,4.27,2.049,145.84,sand
1046.3,66.454,80.776,6.913,4.319,2.049,143.319,sand
1046.4,65.79,80.837,6.943,4.342,2.049,141.897,sand
1046.5,65.2,80.863,6.914,4.334,2.048,141.839,sand
1046.6,64.668,80.834,6.823,4.291,2.047,142.437,sand
1046.7,64.148,80.746,6.678,4.221,2.045,142.846,sand
1046.8,63.594,80.732,6.505,4.134,2.042,142.837,sand
1046.9,62.96,80.896,6.332,4.044,2.041,142.709,sand
1047,62.212,81.254,6.175,3.961,2.041,142.467,sand
1047.1,61.331,81.646,6.033,3.884,2.044,141.691,sand
1047.2,60.328,81.764,5.885,3.803,2.048,140.451,sand
1047.3,59.243,81.39,5.691,3.701,2.053,139.397,sand
1047.4,58.125,80.492,5.418,3.559,2.058,138.899,sand
1047.5,57.011,79.203,5.057,3.369,2.06,139.052,sand
1047.6,55.911,77.844,4.639,3.144,2.061,139.842,sand
1047.7,54.81,76.939,4.217,2.912,2.06,140.911,sand
1047.8,53.672,76.818,3.841,2.702,2.06,141.607,sand
1047.9,52.444,77.66,3.535,2.53,2.062,141.388,sand
1048,51.082,79.619,3.303,2.401,2.07,140.261,sand
1048.1,49.572,82.686,3.138,2.312,2.083,138.845,shale
1048.2,47.937,86.454,3.023,2.253,2.101,137.634,shale
1048.3,46.236,90.144,2.944,2.214,2.121,136.413,shale
1048.4,44.557,92.975,2.89,2.187,2.141,134.909,shale
1048.5,42.998,94.577,2.858,2.17,2.158,133.127,shale
1048.6,41.642,95.025,2.849,2.162,2.171,131.173,shale
1048.7,40.531,94.684,2.867,2.167,2.181,128.962,shale
1048.8,39.668,93.923,2.91,2.183,2.188,126.262,shale
1048.9,39.026,93.06,2.975,2.209,2.195,123.326,shale
1049,38.582,92.153,3.051,2.24,2.201,120.891,shale
1049.1,38.328,91.151,3.124,2.268,2.206,119.663,shale
1049.2,38.273,90.084,3.182,2.289,2.209,119.6,shale
1049.3,38.41,89.076,3.225,2.302,2.211,120.101,shale
1049.4,38.71,88.283,3.265,2.314,2.209,120.539,shale
1049.5,39.127,87.703,3.32,2.336,2.206,120.555,shale
1049.6,39.625,87.125,3.407,2.375,2.202,120.151,shale
1049.7,40.218,86.409,3.537,2.438,2.199,119.567,shale
1049.8,40.989,85.53,3.71,2.524,2.197,119.459,shale
1049.9,42.045,84.544,3.916,2.629,2.194,120.482,shale
1050,43.451,83.497,4.137,2.743,2.19,122.905,sand
1050.1,45.173,82.505,4.357,2.861,2.18,126.658,sand
1050.2,47.082,81.754,4.571,2.978,2.167,131.223,sand
1050.3,48.997,81.452,4.785,3.094,2.15,135.566,sand
1050.4,50.76,81.687,5.004,3.209,2.134,138.452,sand
1050.5,52.284,82.294,5.228,3.32,2.121,139.114,sand
1050.6,53.568,82.879,5.441,3.42,2.113,137.875,sand
1050.7,54.671,83.061,5.614,3.497,2.107,136.017,sand
1050.8,55.664,82.754,5.72,3.537,2.103,134.784,sand
1050.9,56.599,82.208,5.741,3.535,2.098,134.69,sand
1051,57.508,81.765,5.683,3.491,2.093,135.643,sand
1051.1,58.402,81.597,5.568,3.419,2.087,137.4,sand
1051.2,59.267,81.584,5.426,3.333,2.084,139.642,sand
1051.3,60.061,81.372,5.282,3.252,2.084,141.895,sand
1051.4,60.732,80.663,5.158,3.185,2.086,143.772,sand
1051.5,61.233,79.396,5.068,3.14,2.09,145.191,sand
1051.6,61.54,77.83,5.023,3.12,2.093,146.412,sand
1051.7,61.651,76.292,5.026,3.122,2.092,147.754,sand
1051.8,61.59,74.964,5.078,3.145,2.086,149.259,sand
1051.9,61.396,73.84,5.173,3.184,2.074,150.576,sand
1052,61.111,72.862,5.297,3.233,2.061,151.302,sand
1052.1,60.762,72.067,5.439,3.288,2.047,151.246,sand
1052.2,60.37,71.608,5.592,3.348,2.032,150.313,sand
1052.3,59.94,71.686,5.754,3.415,2.007,148.599,sand
1052.4,59.469,72.334,5.922,3.491,1.989,146.402,sand
1052.5,58.945,73.3,6.093,3.576,1.985,144.133,sand
1052.6,58.353,74.263,6.25,3.665,1.999,142.179,sand
1052.7,57.683,75.033,6.363,3.746,2.023,140.731,sand
1052.8,56.948,75.645,6.396,3.8,2.047,139.863,sand
1052.9,56.167,76.345,6.325,3.81,2.058,139.698,sand
1053,55.368,77.355,6.147,3.764,2.061,140.332,sand
1053.1,54.565,78.656,5.883,3.666,2.058,141.485,sand
1053.2,53.756,79.992,5.567,3.528,2.055,142.695,sand
1053.3,52.921,81.017,5.225,3.364,2.052,143.635,sand
1053.4,52.042,81.445,4.869,3.182,2.051,144.165,sand
1053.5,51.116,81.308,4.493,2.984,2.054,144.402,sand
1053.6,50.167,80.95,4.098,2.771,2.059,144.39,sand
1053.7,49.218,80.696,3.699,2.553,2.067,144.148,sand
1053.8,48.265,80.812,3.327,2.346,2.071,143.723,sand
1053.9,47.258,81.562,3.009,2.166,2.075,143.076,sand
1054,46.124,83.201,2.765,2.028,2.081,142.055,shale
1054.1,44.799,85.743,2.601,1.935,2.09,140.613,shale
1054.2,43.264,88.841,2.514,1.891,2.102,138.828,shale
1054.3,41.558,91.893,2.498,1.891,2.116,136.643,shale
1054.4,39.764,94.272,2.538,1.929,2.131,133.986,shale
1054.5,37.978,95.576,2.62,1.995,2.147,131.055,shale
1054.6,36.293,95.792,2.722,2.072,2.162,128.473,shale
1054.7,34.786,95.218,2.819,2.144,2.175,126.831,shale
1054.8,33.521,94.342,2.888,2.192,2.186,126.167,shale
1054.9,32.542,93.502,2.917,2.206,2.194,126.112,shale
1055,31.865,92.803,2.908,2.189,2.198,126.304,shale
1055.1,31.464,92.158,2.873,2.149,2.201,126.513,shale
1055.2,31.277,91.418,2.825,2.099,2.202,126.456,shale
1055.3,31.226,90.518,2.779,2.05,2.203,125.83,shale
1055.4,31.247,89.497,2.742,2.011,2.202,124.557,shale
1055.5,31.305,88.439,2.72,1.987,2.202,122.947,shale
1055.6,31.397,87.472,2.715,1.979,2.2,121.436,shale
1055.7,31.525,86.665,2.727,1.985,2.197,120.36,shale
1055.8,31.681,86.096,2.752,2.002,2.193,120.056,shale
1055.9,31.841,85.915,2.78,2.022,2.188,120.676,shale
1056,31.965,86.336,2.804,2.042,2.182,122.054,shale
1056.1,32.01,87.46,2.821,2.057,2.175,123.861,shale
1056.2,31.945,89.14,2.831,2.067,2.168,125.759,shale
1056.3,31.76,91.03,2.838,2.074,2.161,127.424,shale
1056.4,31.469,92.647,2.845,2.079,2.156,128.648,shale
1056.5,31.092,93.55,2.852,2.081,2.151,129.463,shale
1056.6,30.657,93.618,2.852,2.077,2.147,129.94,shale
1056.7,30.181,93.075,2.834,2.061,2.143,130.077,shale
1056.8,29.672,92.271,2.794,2.033,2.141,129.772,shale
1056.9,29.122,91.531,2.736,1.994,2.141,128.98,shale
1057,28.515,91.042,2.673,1.954,2.143,127.995,shale
1057.1,27.826,90.887,2.618,1.92,2.148,127.122,shale
1057.2,27.051,91.101,2.583,1.898,2.154,126.269,shale
1057.3,26.208,91.65,2.57,1.892,2.16,125.112,shale
1057.4,25.332,92.372,2.575,1.898,2.168,123.427,shale
1057.5,24.462,92.948,2.588,1.909,2.174,121.402,shale
1057.6,23.633,93.018,2.595,1.916,2.175,119.777,shale
1057.7,22.866,92.36,2.583,1.911,2.166,119.456,shale
1057.8,22.162,91.045,2.548,1.891,2.142,120.707,shale
1057.9,21.514,89.412,2.494,1.857,2.102,123.154,shale
1058,20.903,87.952,2.43,1.813,2.054,126.329,shale
1058.1,20.3,87.005,2.361,1.767,2.01,129.889,shale
1058.2,19.673,86.58,2.294,1.721,1.982,133.408,shale
1058.3,19,86.452,2.228,1.677,1.97,135.959,shale
1058.4,18.279,86.435,2.164,1.635,1.968,136.729,shale
1058.5,17.546,86.536,2.1,1.595,1.967,136.072,shale
1058.6,16.868,86.941,2.041,1.558,1.968,134.973,shale
1058.7,16.304,87.776,1.989,1.524,1.971,133.727,shale
1058.8,15.883,88.993,1.948,1.497,1.979,131.892,shale
1058.9,15.589,90.426,1.919,1.477,1.989,129.248,shale
1059,15.381,91.933,1.902,1.465,2.003,126.307,shale
1059.1,15.213,93.344,1.894,1.459,2.024,123.781,shale
1059.2,15.065,94.502,1.892,1.456,2.051,122.096,shale
1059.3,14.939,95.304,1.892,1.455,2.083,121.406,shale
1059.4,14.85,95.651,1.895,1.454,2.115,121.827,shale
1059.5,14.812,95.368,1.9,1.456,2.141,123.18,shale
1059.6,14.83,94.315,1.913,1.462,2.159,124.697,shale
1059.7,14.904,92.713,1.935,1.476,2.169,125.624,shale
1059.8,15.029,91.137,1.971,1.499,2.178,125.592,shale
1059.9,15.201,90.075,2.019,1.532,2.188,124.572,shale
1060,15.411,89.803,2.075,1.57,2.196,122.81,shale
1060.1,15.634,90.208,2.13,1.608,2.2,121.022,shale
1060.2,15.835,91.013,2.173,1.636,2.195,120.291,shale
1060.3,15.99,91.837,2.196,1.648,2.179,121.257,shale
1060.4,16.085,92.415,2.193,1.64,2.16,123.658,shale
1060.5,16.125,92.681,2.168,1.617,2.134,126.661,shale
1060.6,16.126,92.804,2.132,1.586,2.11,129.881,shale
1060.7,16.094,93.127,2.097,1.557,2.095,133.396,shale
1060.8,16.024,93.896,2.077,1.539,2.094,136.711,shale
1060.9,15.897,95.103,2.079,1.536,2.105,138.676,shale
1061,15.705,96.726,2.106,1.551,2.124,138.248,shale
1061.1,15.464,98.599,2.151,1.578,2.148,135.472,shale
1061.2,15.22,100.498,2.204,1.611,2.174,131.489,shale
1061.3,15.018,102.268,2.247,1.639,2.199,127.71,shale
1061.4,14.883,103.873,2.262,1.651,2.221,125.068,shale
1061.5,14.8,105.213,2.24,1.64,2.238,123.955,shale
1061.6,14.727,106.088,2.188,1.609,2.249,124.723,shale
1061.7,14.618,106.241,2.12,1.566,2.253,127.395,shale
1061.8,14.444,105.519,2.052,1.522,2.252,131.428,shale
1061.9,14.205,103.994,1.994,1.484,2.247,135.733,shale
1062,13.922,101.98,1.951,1.455,2.24,139.089,shale
1062.1,13.628,99.922,1.925,1.437,2.233,140.953,shale
1062.2,13.356,98.174,1.914,1.43,2.226,141.602,shale
1062.3,13.138,96.87,1.914,1.431,2.22,141.693,shale
1062.4,13.008,95.945,1.924,1.439,2.214,141.651,shale
1062.5,12.994,95.126,1.94,1.451,2.21,141.665,shale
1062.6,13.108,94.251,1.961,1.468,2.207,141.87,shale
1062.7,13.335,93.233,1.985,1.487,2.206,142.317,shale
1062.8,13.642,92.012,2.012,1.508,2.206,143.012,shale
1062.9,13.993,90.668,2.042,1.532,2.205,143.847,shale
1063,14.36,89.502,2.076,1.558,2.203,144.599,shale
1063.1,14.715,88.855,2.115,1.587,2.197,144.983,shale
1063.2,15.031,88.962,2.157,1.617,2.187,144.871,shale
1063.3,15.285,89.895,2.197,1.645,2.172,144.451,shale
1063.4,15.466,91.544,2.23,1.669,2.156,143.981,shale
1063.5,15.577,93.594,2.252,1.685,2.139,143.437,shale
1063.6,15.634,95.536,2.258,1.692,2.125,142.436,shale
1063.7,15.661,96.981,2.25,1.689,2.113,140.573,shale
1063.8,15.67,97.761,2.232,1.68,2.102,137.787,shale
1063.9,15.656,98.019,2.211,1.668,2.09,134.442,shale
1064,15.606,97.981,2.195,1.659,2.078,131.157,shale
1064.1,15.519,97.791,2.186,1.653,2.064,128.581,shale
1064.2,15.425,97.595,2.183,1.652,2.047,127.168,shale
1064.3,15.369,97.558,2.183,1.653,2.029,127.009,shale
1064.4,15.389,97.606,2.178,1.651,2.013,127.854,shale
1064.5,15.483,97.514,2.161,1.643,2.006,129.231,shale
1064.6,15.612,97.071,2.13,1.626,2.008,130.737,shale
1064.7,15.717,96.369,2.087,1.599,2.014,132.337,shale
1064.8,15.755,95.682,2.037,1.568,2.016,134.244,shale
1064.9,15.726,95.234,1.986,1.534,2.004,136.568,shale
1065,15.665,95.076,1.942,1.504,1.976,138.793,shale
1065.1,15.614,95.098,1.908,1.479,1.939,139.798,shale
1065.2,15.595,95.172,1.887,1.464,1.903,138.8,shale
1065.3,15.599,95.203,1.882,1.46,1.88,135.812,shale
1065.4,15.591,94.994,1.891,1.467,1.876,131.688,shale
1065.5,15.537,94.392,1.913,1.481,1.89,127.839,shale
1065.6,15.436,93.427,1.941,1.5,1.92,125.57,shale
1065.7,15.309,92.295,1.969,1.518,1.958,125.639,shale
1065.8,15.195,91.232,1.99,1.532,1.996,127.723,shale
1065.9,15.13,90.46,2.001,1.539,2.026,130.43,shale
1066,15.142,90.066,2.006,1.542,2.045,132.181,shale
1066.1,15.25,89.972,2.011,1.546,2.051,132.732,shale
1066.2,15.465,90,2.025,1.556,2.045,133.161,shale
1066.3,15.78,90.081,2.053,1.576,2.034,134.363,shale
1066.4,16.16,90.203,2.096,1.606,2.023,136.298,shale
1066.5,16.555,90.492,2.147,1.643,2.017,137.937,shale
1066.6,16.911,90.924,2.191,1.676,2.018,138.06,shale
1066.7,17.181,91.21,2.208,1.691,2.027,136.192,shale
1066.8,17.341,90.986,2.183,1.677,2.045,132.891,shale
1066.9,17.387,90.231,2.116,1.631,2.063,129.509,shale
1067,17.334,89.228,2.024,1.564,2.063,127.393,shale
1067.1,17.208,88.365,1.931,1.494,2.019,127.166,shale
1067.2,17.038,88.012,1.859,1.435,1.93,128.675,shale
1067.3,16.847,88.269,1.819,1.399,1.822,131.556,shale
1068,15.404,102.882,2.078,1.602,1.88,125.254,shale
1068.1,14.911,105.678,2.034,1.573,1.989,125.624,shale
1068.2,14.311,108.07,1.962,1.52,2.082,128.728,shale
1068.3,13.654,109.868,1.881,1.457,2.149,133.595,shale
1068.4,13.008,110.903,1.806,1.397,2.188,138.393,shale
1068.5,12.446,111.161,1.746,1.348,2.208,141.94,shale
1068.6,12.028,110.835,1.706,1.314,2.215,144.304,shale
1068.7,11.788,110.158,1.687,1.295,2.214,146.21,shale
1068.8,11.724,109.218,1.687,1.291,2.208,148.003,shale
1068.9,11.797,108.009,1.704,1.297,2.2,149.166,shale
1069,11.95,106.398,1.733,1.313,2.193,149.291,shale
1069.1,12.125,104.375,1.769,1.335,2.186,148.585,shale
1069.2,12.276,102.174,1.809,1.359,2.182,147.658,shale
1069.3,12.371,100.149,1.85,1.383,2.182,146.86,shale
1069.4,12.404,98.537,1.887,1.406,2.185,146.169,shale
1069.5,12.371,97.374,1.918,1.424,2.19,145.324,shale
1069.6,12.278,96.565,1.94,1.437,2.197,144.152,shale
1069.7,12.141,95.999,1.954,1.444,2.205,142.852,shale
1069.8,11.998,95.663,1.959,1.445,2.212,141.746,shale
1069.9,11.902,95.735,1.96,1.443,2.218,141.155,shale
1070,11.904,96.326,1.959,1.439,2.223,141.163,shale
1070.1,12.019,97.433,1.959,1.435,2.226,141.502,shale
1070.2,12.225,98.887,1.962,1.434,2.227,141.836,shale
1070.3,12.47,100.396,1.968,1.434,2.227,142.09,shale
1070.4,12.702,101.727,1.976,1.437,2.226,142.365,shale
1070.5,12.888,102.793,1.983,1.44,2.225,142.726,shale
1070.6,13.026,103.553,1.984,1.441,2.226,143.115,shale
1070.7,13.136,104,1.979,1.438,2.227,143.448,shale
1070.8,13.24,104.265,1.966,1.431,2.228,143.793,shale
1070.9,13.353,104.611,1.947,1.421,2.227,144.293,shale
1071,13.479,105.115,1.926,1.409,2.223,144.995,shale
1071.1,13.615,105.647,1.909,1.4,2.217,145.813,shale
1071.2,13.755,105.992,1.9,1.396,2.211,146.573,shale
1071.3,13.897,106.045,1.899,1.398,2.204,147.142,shale
1071.4,14.042,105.99,1.906,1.405,2.199,147.58,shale
1071.5,14.19,106.037,1.918,1.414,2.196,148.114,shale
1071.6,14.341,106.265,1.928,1.423,2.194,148.885,shale
1071.7,14.481,106.583,1.934,1.427,2.194,149.829,shale
1071.8,14.592,106.849,1.932,1.427,2.195,150.679,shale
1071.9,14.654,106.918,1.927,1.422,2.196,151.165,shale
1072,14.655,106.78,1.922,1.417,2.197,151.231,shale
1072.1,14.589,106.633,1.925,1.416,2.198,151.025,shale
1072.2,14.478,106.694,1.938,1.421,2.198,150.61,shale
1072.3,14.373,106.942,1.959,1.432,2.199,149.924,shale
1072.4,14.333,107.181,1.982,1.444,2.201,149.01,shale
1072.5,14.391,107.209,1.997,1.453,2.205,148.133,shale
1072.6,14.545,107.009,1.995,1.451,2.212,147.74,shale
1072.7,14.751,106.705,1.974,1.437,2.22,148.03,shale
1072.8,14.952,106.346,1.939,1.414,2.228,148.74,shale
1072.9,15.095,105.854,1.9,1.388,2.233,149.408,shale
1073,15.147,105.144,1.867,1.365,2.234,149.729,shale
1073.1,15.103,104.256,1.848,1.352,2.232,149.636,shale
1073.2,14.976,103.272,1.844,1.349,2.227,149.119,shale
1073.3,14.789,102.219,1.855,1.358,2.223,148.234,shale
1073.4,14.566,101.131,1.878,1.376,2.22,146.963,shale
1073.5,14.342,100.058,1.909,1.4,2.219,145.34,shale
1073.6,14.161,99.059,1.946,1.43,2.22,143.544,shale
1073.7,14.068,98.299,1.987,1.462,2.222,141.86,shale
1073.8,14.091,98.149,2.031,1.496,2.224,140.635,shale
1073.9,14.226,98.917,2.072,1.529,2.227,140.02,shale
1074,14.442,100.553,2.103,1.554,2.229,139.684,shale
1074.1,14.699,102.578,2.114,1.565,2.231,139.066,shale
1074.2,14.962,104.296,2.101,1.559,2.23,138.194,shale
1074.3,15.205,105.1,2.066,1.537,2.222,137.839,shale
1074.4,15.411,104.812,2.019,1.507,2.203,138.657,shale
1074.5,15.57,103.675,1.975,1.478,2.171,140.521,shale
1074.6,15.681,102.224,1.949,1.462,2.123,142.223,shale
1074.7,15.757,101.013,1.95,1.465,2.069,142.21,shale
1074.8,15.821,100.228,1.984,1.492,2.022,139.886,shale
1074.9,15.898,99.586,2.045,1.539,1.986,135.904,shale
1075,16.007,98.758,2.122,1.6,1.962,131.511,shale
1075.1,16.155,97.618,2.195,1.662,1.942,127.815,shale
1075.2,16.326,96.296,2.243,1.708,1.934,125.626,shale
1075.3,16.492,95.066,2.248,1.725,1.938,125.019,shale
1075.4,16.62,94.236,2.213,1.709,1.958,125.717,shale
1075.5,16.689,93.936,2.15,1.67,1.99,127.109,shale
1075.6,16.698,94.143,2.082,1.622,2.028,128.635,shale
1075.7,16.659,94.688,2.026,1.58,2.067,130.634,shale
1075.8,16.588,95.274,1.991,1.553,2.105,133.131,shale
1075.9,16.504,95.583,1.983,1.547,2.139,135.376,shale
1076,16.425,95.468,2.003,1.562,2.168,136.26,shale
1076.1,16.373,94.912,2.05,1.597,2.191,135.631,shale
1076.2,16.365,94.11,2.12,1.648,2.207,134.377,shale
1076.3,16.415,93.306,2.205,1.709,2.214,133.33,shale
1076.4,16.526,92.672,2.293,1.771,2.211,132.636,shale
1076.5,16.688,92.291,2.371,1.824,2.196,131.915,shale
1076.6,16.876,92.04,2.425,1.86,2.166,131.248,shale
1076.7,17.049,91.656,2.448,1.873,2.123,130.679,shale
1076.8,17.168,91.007,2.442,1.868,2.076,130.295,shale
1076.9,17.207,90.277,2.42,1.852,2.04,130.332,shale
1077,17.163,89.802,2.396,1.836,2.018,130.698,shale
1077.1,17.057,89.838,2.383,1.828,2.009,131.193,shale
1077.2,16.931,90.354,2.386,1.831,2.007,131.652,shale
1077.3,16.836,91.04,2.407,1.847,2.014,132.315,shale
1077.4,16.81,91.524,2.437,1.87,2.031,133.473,shale
1077.5,16.855,91.512,2.463,1.892,2.055,134.822,shale
1077.6,16.941,90.871,2.475,1.904,2.079,135.483,shale
1077.7,17.017,89.831,2.463,1.902,2.101,134.875,shale
1077.8,17.046,88.841,2.426,1.883,2.119,133.278,shale
1077.9,17.016,88.24,2.372,1.85,2.13,131.26,shale
1078,16.941,88.107,2.311,1.812,2.129,129.097,shale
1078.1,16.844,88.306,2.25,1.772,2.112,126.863,shale
1078.2,16.737,88.763,2.198,1.738,2.078,124.883,shale
1078.3,16.617,89.353,2.155,1.711,2.034,123.666,shale
1078.4,16.475,89.904,2.124,1.691,1.991,123.449,shale
1078.5,16.317,90.27,2.102,1.68,1.957,124.013,shale
1078.6,16.16,90.412,2.085,1.673,1.937,124.977,shale
1078.7,16.028,90.346,2.068,1.667,1.927,126.019,shale
1078.8,15.93,90.21,2.047,1.658,1.924,126.957,shale
1078.9,15.856,90.193,2.019,1.643,1.922,127.559,shale
1079,15.781,90.386,1.988,1.624,1.917,127.696,shale
1079.1,15.685,90.765,1.959,1.603,1.907,127.806,shale
1079.2,15.563,91.287,1.933,1.583,1.895,128.484,shale
1079.3,15.428,91.889,1.913,1.565,1.883,129.782,shale
1079.4,15.303,92.616,1.898,1.55,1.876,130.953,shale
1079.5,15.202,93.563,1.886,1.536,1.876,131.445,shale
1079.6,15.119,94.711,1.876,1.523,1.885,131.317,shale
1079.7,15.044,95.952,1.871,1.514,1.9,130.802,shale
1079.8,14.978,97.081,1.873,1.511,1.918,130.25,shale
1079.9,14.938,97.845,1.885,1.517,1.93,129.846,shale
1080,14.954,98.106,1.907,1.531,1.934,129.595,shale
1080.1,15.04,97.938,1.934,1.551,1.929,129.329,shale
1080.2,15.187,97.473,1.959,1.571,1.922,128.816,shale
1080.3,15.362,96.838,1.975,1.584,1.922,128.105,shale
1080.4,15.514,96.12,1.977,1.587,1.936,127.716,shale
1080.5,15.593,95.357,1.969,1.581,1.967,128.121,shale
1080.6,15.577,94.475,1.962,1.573,2.009,129.012,shale
1080.7,15.476,93.326,1.965,1.572,2.051,129.901,shale
1080.8,15.328,91.793,1.988,1.583,2.093,130.575,shale
1080.9,15.186,90.039,2.031,1.61,2.13,130.815,shale
1081,15.105,88.494,2.094,1.651,2.161,130.5,shale
1081.1,15.135,87.579,2.173,1.705,2.185,129.656,shale
1081.2,15.304,87.557,2.263,1.767,2.199,128.579,shale
1081.3,15.611,88.385,2.357,1.833,2.204,127.663,shale
1081.4,16.03,89.601,2.449,1.896,2.2,126.969,shale
1081.5,16.523,90.621,2.526,1.948,2.193,125.921,shale
1081.6,17.057,91.056,2.57,1.978,2.183,123.864,shale
1081.7,17.609,91,2.57,1.978,2.168,120.743,shale
1081.8,18.155,90.857,2.527,1.951,2.157,117.408,shale
1081.9,18.66,90.918,2.457,1.907,2.159,115.201,shale
1082,19.074,91.296,2.385,1.859,2.172,114.951,shale
1082.1,19.346,91.862,2.33,1.819,2.192,116.821,shale
1082.2,19.447,92.363,2.305,1.796,2.202,120.079,shale
1082.3,19.382,92.647,2.314,1.794,2.207,123.758,shale
1082.4,19.189,92.769,2.356,1.814,2.21,127.255,shale
1082.5,18.925,92.927,2.426,1.854,2.22,130.157,shale
1082.6,18.642,93.192,2.521,1.914,2.232,131.877,shale
1082.7,18.38,93.343,2.636,1.99,2.242,131.067,shale
1082.8,18.153,93.201,2.759,2.073,2.247,126.72,shale
1082.9,17.963,92.884,2.871,2.149,2.249,119.654,shale
1083,17.799,92.766,2.947,2.2,2.248,112.493,shale
1083.1,17.637,93.232,2.958,2.208,2.248,107.522,shale
1083.2,17.437,94.526,2.89,2.162,2.251,105.011,shale
1083.3,17.161,96.727,2.751,2.068,2.259,104.861,shale
1083.4,16.791,99.547,2.57,1.945,2.269,107.576,shale
1083.5,16.34,102.417,2.38,1.814,2.279,113.455,shale
1083.6,15.861,104.76,2.206,1.693,2.286,121.602,shale
1083.7,15.414,106.177,2.062,1.592,2.287,129.847,shale
1083.8,15.049,106.549,1.952,1.515,2.281,136.483,shale
1083.9,14.785,105.982,1.88,1.462,2.27,140.99,shale
1084,14.608,104.767,1.843,1.435,2.257,143.487,shale
1084.1,14.488,103.244,1.839,1.431,2.244,144.098,shale
1084.2,14.391,101.649,1.866,1.448,2.234,143.239,shale
1084.3,14.295,100.127,1.918,1.484,2.227,141.734,shale
1084.4,14.186,98.786,1.986,1.53,2.223,139.962,shale
1084.5,14.051,97.799,2.056,1.576,2.223,137.978,shale
1084.6,13.882,97.33,2.11,1.612,2.224,135.978,shale
1084.7,13.683,97.32,2.133,1.626,2.228,134.342,shale
1084.8,13.478,97.644,2.119,1.614,2.233,133.541,shale
1084.9,13.308,98.22,2.074,1.582,2.239,133.812,shale
1085,13.219,98.933,2.013,1.538,2.245,134.816,shale
1085.1,13.237,99.636,1.954,1.496,2.25,135.903,shale
1085.2,13.357,100.253,1.909,1.463,2.255,136.493,shale
1085.3,13.54,100.681,1.884,1.445,2.258,136.37,shale
1085.4,13.734,100.642,1.881,1.44,2.26,135.434,shale
1085.5,13.891,99.791,1.896,1.448,2.26,133.68,shale
1085.6,13.988,97.942,1.924,1.464,2.255,131.202,shale
1085.7,14.024,95.31,1.957,1.483,2.245,128.146,shale
1085.8,14.018,92.471,1.989,1.502,2.232,125.137,shale
1085.9,14.003,89.994,2.016,1.518,2.216,122.803,shale
1086,14.009,88.212,2.038,1.533,2.197,121.312,shale
1086.1,14.053,87.221,2.06,1.549,2.177,120.433,shale
1086.2,14.14,86.864,2.083,1.568,2.161,119.99,shale
1086.3,14.262,86.789,2.11,1.59,2.153,119.927,shale
1086.4,14.404,86.665,2.138,1.614,2.157,120.393,shale
1086.5,14.551,86.377,2.161,1.634,2.172,121.499,shale
1086.6,14.687,86.118,2.173,1.646,2.192,122.85,shale
1086.7,14.803,86.225,2.168,1.645,2.215,124.093,shale
1086.8,14.891,86.916,2.146,1.632,2.234,125.109,shale
1086.9,14.947,88.103,2.11,1.607,2.247,125.765,shale
1087,14.97,89.477,2.068,1.578,2.257,125.921,shale
